# [199.82, 244.26, 260.93, 333.2]: Aroyan, H. J.; Katz, D. L. Ind. Eng. Chem., 1951, 43, 185-189  Low Temperature Vapor-Liquid Equilibria in Hydrogen-n-Butane System
# [327.6, 353.2, 360.88, 377.47, 394.17]: Klink, A. E.; Cheh, H. Y.; Amick, E. H. AIChE J., 1975, 21, 1142-8 The vapor-liquid equilibrium of the hydrogen + n-butane system at elevated pressures
#
# T / K | x1 | P / bar
313.2	0.0442	7
313.2	0.1111	14.6
313.2	0.2139	26.8
313.2	0.2925	36.5
313.2	0.3122	39.0
313.2	0.3645	46.3
313.2	0.5124	59.6
313.2	0.6015	70.1
313.2	0.9704	7
313.2	0.9686	14.6
313.2	0.9706	26.8
313.2	0.9690	36.5
313.2	0.9741	39.0
313.2	0.9711	46.3
313.2	0.9704	59.6
313.2	0.9676	70.1
333.2	0.0693	9.8
333.2	0.0934	12.0
333.2	0.1048	16.7
333.2	0.1157	19.6
333.2	0.1728	29.2
333.2	0.2483	38.4
333.2	0.2849	45.1
333.2	0.3038	49.1
333.2	0.3139	52.4
333.2	0.3891	68.0
333.2	0.5061	80.0
333.2	0.6155	9.18
333.2	0.6624	96.8
333.2	0.9703	9.8
333.2	0.9754	12.0
333.2	0.9638	16.7
333.2	0.9744	19.6
333.2	0.9712	29.2
333.2	0.9715	38.4
333.2	0.9709	45.1
333.2	0.9686	49.1
333.2	0.9691	52.4
333.2	0.9695	68.0
333.2	0.9690	80.0
333.2	0.9664	9.18
333.2	0.9684	96.8
353.2	0.0400	8.3
353.2	0.0879	18.0
353.2	0.1422	28.6
353.2	0.1937	38.3
353.2	0.2457	46.7
353.2	0.2861	61.0
353.2	0.3708	68.0
353.2	0.4544	88.1
353.2	0.5306	99.2
353.2	0.6971	103.7
353.2	0.9681	8.3
353.2	0.9510	18.0
353.2	0.9621	28.6
353.2	0.9561	38.3
353.2	0.9681	46.7
353.2	0.9683	61.0
353.2	0.9688	68.0
353.2	0.9653	88.1
353.2	0.9630	99.2
353.2	0.9640	103.7
